region,segment,OrderDate,UnitPrice,orderQuantity,stateOrProvince,year,totalCost,month
South,Red Wine,05.12.2010,30.98,12.0,Australian Capital Territory,2010,371.76,12
South,Red Wine,30.04.2012,11.5,2.0,Australian Capital Territory,2012,23.0,4
South,Red Wine,22.02.2011,20.98,10.0,Australian Capital Territory,2011,209.8,2
South,Red Wine,26.06.2011,14.03,10.0,Australian Capital Territory,2011,140.3,6
South,Red Wine,05.10.2010,370.98,6.0,Australian Capital Territory,2010,2225.88,10
South,Red Wine,19.02.2010,5.98,9.0,Australian Capital Territory,2010,53.82,2
South,Red Wine,19.02.2010,5.98,7.0,Australian Capital Territory,2010,41.86,2
South,Red Wine,21.08.2011,18.99,14.0,Australian Capital Territory,2011,265.86,8
South,Red Wine,23.09.2012,4.26,23.0,Australian Capital Territory,2012,97.98,9
South,Red Wine,04.11.2011,8.34,31.0,Australian Capital Territory,2011,258.54,11
South,Red Wine,14.08.2010,1.82,22.0,Australian Capital Territory,2010,40.04,8
South,Red Wine,26.02.2010,6.88,5.0,Australian Capital Territory,2010,34.4,2
South,Red Wine,08.10.2013,52.71,2.0,Australian Capital Territory,2013,105.42,10
South,Red Wine,28.02.2011,30.98,4.0,Australian Capital Territory,2011,123.92,2
South,Red Wine,24.11.2013,5.98,26.0,Australian Capital Territory,2013,155.48,11
South,Red Wine,17.11.2011,5.98,10.0,Australian Capital Territory,2011,59.8,11
South,Red Wine,19.11.2012,8.01,33.0,Australian Capital Territory,2012,264.33,11
South,Red Wine,16.04.2012,3.95,11.0,Australian Capital Territory,2012,43.45,4
South,Red Wine,20.05.2013,6.54,3.0,Australian Capital Territory,2013,19.62,5
South,Red Wine,16.04.2012,3.69,2.0,Australian Capital Territory,2012,7.38,4
South,Red Wine,06.09.2010,6.48,20.0,Australian Capital Territory,2010,129.6,9
South,Red Wine,24.08.2011,19.98,21.0,Australian Capital Territory,2011,419.58,8
South,Red Wine,24.09.2010,28.53,5.0,Australian Capital Territory,2010,142.65,9
South,Red Wine,06.06.2013,6.47,8.0,Australian Capital Territory,2013,51.76,6
South,Red Wine,25.10.2013,7.89,24.0,Australian Capital Territory,2013,189.36,10
South,Red Wine,30.12.2012,5.81,20.0,Australian Capital Territory,2012,116.2,12
East,Red Wine,24.08.2011,3.69,54.0,New South Wales,2011,199.26,8
East,Red Wine,26.12.2013,2.61,76.0,New South Wales,2013,198.36,12
East,Red Wine,31.08.2011,2.88,67.0,New South Wales,2011,192.96,8
East,Red Wine,01.03.2010,40.98,8.0,New South Wales,2010,327.84,3
